year,state,totals
2017,Tennessee,69264
2017,Texas,137470
2017,Utah,24889
2017,Vermont,3594
2017,Virgin Islands,106
2017,Virginia,47038
2017,Washington,52154
2017,West Virginia,22449
2017,Wisconsin,50720
2017,Wyoming,4554
2017,Alabama,41542
2017,Alaska,4500
2017,Arizona,31366
2017,Arkansas,16762
2017,California,130365
2017,Colorado,37047
2017,Connecticut,15073
2017,Delaware,4299
2017,District of Columbia,81
2017,Florida,104576
2017,Georgia,44615
2017,Guam,205
2017,Hawaii,866
2017,Idaho,11146
2017,Illinois,138008
2017,Indiana,80412
2017,Iowa,15707
2017,Kansas,15049
2017,Kentucky,345924
2017,Louisiana,27709
2017,Maine,6865
2017,Mariana Islands,2
2017,Maryland,13368
2017,Massachusetts,19996
2017,Michigan,39067
2017,Minnesota,85322
2017,Mississippi,17113
2017,Missouri,39098
2017,Montana,7994
2017,Nebraska,6205
2017,Nevada,10013
2017,New Hampshire,12067
2017,New Jersey,9274
2017,New Mexico,10966
2017,New York,31567
2017,North Carolina,46548
2017,North Dakota,4933
2017,Ohio,58574
2017,Oklahoma,24547
2017,Oregon,22210
2017,Pennsylvania,85948
2017,Puerto Rico,1332
2017,Rhode Island,2147
2017,South Carolina,31829
2017,South Dakota,7614
2017,Tennessee,83613
2017,Texas,117903
2017,Utah,18314
2017,Vermont,2691
2017,Virgin Islands,88
2017,Virginia,37369
2017,Washington,46027
2017,West Virginia,15772
2017,Wisconsin,46775
2017,Wyoming,3705
2016,Alabama,62014
2016,Alaska,8786
2016,Arizona,44887
2016,Arkansas,29926
2016,California,298161
2016,Colorado,55428
2016,Connecticut,17825
2016,Delaware,6356
2016,District of Columbia,71
2016,Florida,144983
2016,Georgia,68269
2016,Guam,172
2016,Hawaii,1141
2016,Idaho,17034
2016,Illinois,137994
2016,Indiana,95672
2016,Iowa,18090
2016,Kansas,22282
2016,Kentucky,397059
2016,Louisiana,51493
2016,Maine,10528
2016,Mariana Islands,0
2016,Maryland,17984
2016,Massachusetts,19842
2016,Michigan,47834
2016,Minnesota,60056
2016,Mississippi,36091
2016,Missouri,63289
2016,Montana,12610
2016,Nebraska,8790
2016,Nevada,14889
2016,New Hampshire,14305
2016,New Jersey,10577
2016,New Mexico,17518
2016,New York,40292
2016,North Carolina,65145
2016,North Dakota,6261
2016,Ohio,88178
2016,Oklahoma,43082
2016,Oregon,35754
2016,Pennsylvania,111913
2016,Puerto Rico,1664
2016,Rhode Island,2542
2016,South Carolina,43044
2016,South Dakota,10739
2016,Tennessee,74884
2016,Texas,181572
2016,Utah,29485
2016,Vermont,3977
2016,Virgin Islands,67
2016,Virginia,62649
2016,Washington,59181
2016,West Virginia,27242
2016,Wisconsin,56928
2016,Wyoming,6560
2016,Alabama,50477
2016,Alaska,8514
2016,Arizona,39722
2016,Arkansas,26901
2016,California,224039
2016,Colorado,54418
2016,Connecticut,17223
2016,Delaware,5791
2016,District of Columbia,56
